Belfast Westlink Roden Street,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
9,V µg/m³,16,V µg/m³,30,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,31,V µg/m³,66,V µg/m³,No data,No data,No data,No data,No data,No data
26,V µg/m³,38,V µg/m³,78,V µg/m³,No data,No data,No data,No data,No data,No data
58,V µg/m³,58,V µg/m³,148,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,30,V µg/m³,59,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,13,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
50,V µg/m³,49,V µg/m³,126,V µg/m³,No data,No data,No data,No data,No data,No data
43,V µg/m³,62,V µg/m³,128,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,43,V µg/m³,86,V µg/m³,No data,No data,No data,No data,No data,No data
47,V µg/m³,73,V µg/m³,145,V µg/m³,No data,No data,No data,No data,No data,No data
64,V µg/m³,62,V µg/m³,160,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,24,V µg/m³,37,V µg/m³,No data,No data,No data,No data,No data,No data
19,V µg/m³,29,V µg/m³,58,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,20,V µg/m³,39,V µg/m³,No data,No data,No data,No data,No data,No data
34,V µg/m³,36,V µg/m³,88,V µg/m³,No data,No data,No data,No data,No data,No data
26,V µg/m³,27,V µg/m³,66,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,26,V µg/m³,47,V µg/m³,No data,No data,No data,No data,No data,No data
53,V µg/m³,51,V µg/m³,133,V µg/m³,No data,No data,No data,No data,No data,No data
25,V µg/m³,31,V µg/m³,69,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,49,V µg/m³,96,V µg/m³,No data,No data,No data,No data,No data,No data
6,V µg/m³,14,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,24,V µg/m³,45,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,13,V µg/m³,16,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,15,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
20,V µg/m³,23,V µg/m³,54,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,13,V µg/m³,19,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,9,V µg/m³,15,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,10,V µg/m³,13,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,16,V µg/m³,20,V µg/m³,No data,No data,No data,No data,No data,No data
32,V µg/m³,29,V µg/m³,79,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,12,V µg/m³,14,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,15,V µg/m³,21,V µg/m³,No data,No data,No data,No data,No data,No data
37,V µg/m³,36,V µg/m³,93,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,18,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,20,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
4,V µg/m³,17,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
