Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
43,V µg/m³,40,V µg/m³,106,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,37,V µg/m³,98,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
50,V µg/m³,43,V µg/m³,120,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,36,V µg/m³,81,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,29,V µg/m³,72,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,30,V µg/m³,63,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,42,V µg/m³,100,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
41,V µg/m³,43,V µg/m³,106,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,48,V µg/m³,123,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
52,V µg/m³,48,V µg/m³,128,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
56,V µg/m³,51,V µg/m³,137,V µg/m³,35,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,39,V µg/m³,108,V µg/m³,34,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,29,V µg/m³,67,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,27,V µg/m³,59,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
51,V µg/m³,50,V µg/m³,128,V µg/m³,28,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
53,V µg/m³,52,V µg/m³,132,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,35,V µg/m³,89,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
31,V µg/m³,38,V µg/m³,86,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,33,V µg/m³,76,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
8,V µg/m³,16,V µg/m³,28,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,40,V µg/m³,85,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
32,V µg/m³,45,V µg/m³,93,V µg/m³,28,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,39,V µg/m³,77,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,28,V µg/m³,61,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,32,V µg/m³,65,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,40,V µg/m³,72,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,35,V µg/m³,60,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,39,V µg/m³,72,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,33,V µg/m³,75,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,38,V µg/m³,82,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,25,V µg/m³,51,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,26,V µg/m³,52,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,32,V µg/m³,57,V µg/m³,29,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
13,V µg/m³,27,V µg/m³,47,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
54,V µg/m³,61,V µg/m³,144,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,63,V µg/m³,108,V µg/m³,27,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,44,V µg/m³,74,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,38,V µg/m³,65,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,53,V µg/m³,92,V µg/m³,31,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,43,V µg/m³,78,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
